Building the model ...
total batches:2433
epoch:   0%|                                             | 0/10 [00:00<?, ?it/s]
Epoch 1 Batch 50 Loss 2.5285
Epoch 1 Batch 100 Loss 1.4588
Epoch 1 Batch 150 Loss 0.9394
Epoch 1 Batch 200 Loss 0.7174
Epoch 1 Batch 250 Loss 0.5711
Epoch 1 Batch 300 Loss 0.5077
Epoch 1 Batch 350 Loss 0.4738
Epoch 1 Batch 400 Loss 0.4417
Epoch 1 Batch 450 Loss 0.4067
Epoch 1 Batch 500 Loss 0.3811
Epoch 1 Batch 550 Loss 0.3413
Epoch 1 Batch 600 Loss 0.2981
Epoch 1 Batch 650 Loss 0.2959
Epoch 1 Batch 700 Loss 0.2303
Epoch 1 Batch 750 Loss 0.2377
Epoch 1 Batch 800 Loss 0.2563
Epoch 1 Batch 850 Loss 0.2673
Epoch 1 Batch 900 Loss 0.2473
Epoch 1 Batch 950 Loss 0.2173
Epoch 1 Batch 1000 Loss 0.2127
Epoch 1 Batch 1050 Loss 0.2168
Epoch 1 Batch 1100 Loss 0.1979
Epoch 1 Batch 1150 Loss 0.1996
Epoch 1 Batch 1200 Loss 0.1995
Epoch 1 Batch 1250 Loss 0.1870
Epoch 1 Batch 1300 Loss 0.1990
Epoch 1 Batch 1350 Loss 0.1880
Epoch 1 Batch 1400 Loss 0.1867
Epoch 1 Batch 1450 Loss 0.1585
Epoch 1 Batch 1500 Loss 0.1538
Epoch 1 Batch 1550 Loss 0.1660
Epoch 1 Batch 1600 Loss 0.1750
Epoch 1 Batch 1650 Loss 0.1496
Epoch 1 Batch 1700 Loss 0.1607
Epoch 1 Batch 1750 Loss 0.1527
Epoch 1 Batch 1800 Loss 0.1399
Epoch 1 Batch 1850 Loss 0.1569
Epoch 1 Batch 1900 Loss 0.1354
Epoch 1 Batch 1950 Loss 0.1441
Epoch 1 Batch 2000 Loss 0.1370
Epoch 1 Batch 2050 Loss 0.1225
Epoch 1 Batch 2100 Loss 0.1325
Epoch 1 Batch 2150 Loss 0.1265
Epoch 1 Batch 2200 Loss 0.1354
Epoch 1 Batch 2250 Loss 0.1314
Epoch 1 Batch 2300 Loss 0.1322
Epoch 1 Batch 2350 Loss 0.1260
Epoch 1 Batch 2400 Loss 0.1265
Starting evaluate ...
Epoch 1 Loss 0.3196; val Loss 0.1414
Time taken for 1 epoch 1369.2633097171783 sec

epoch:  10%|███▎                             | 1/10 [22:49<3:25:23, 1369.26s/it]
Epoch 2 Batch 50 Loss 0.0929
Epoch 2 Batch 100 Loss 0.0950
